Nose And Shoulder Angle,Eye Angle,Label
60.816098032,104.94665999,0
60.804091575,105.86814339,0
60.917718724,105.96301633,0
61.055792319,105.66227503,0
61.308253516,104.66147913,0
61.440542019,104.84164558,0
62.205794384,102.28974691,0
62.306104881,101.61209712,0
62.389799225,101.38694756,0
62.437114645,101.61950606,0
62.486097753,101.88855526,0
62.517663987,102.22523123,0
62.232402647,103.35820189,0
62.27621203,103.46827511,0
62.589572474,102.43985459,0
62.829474822,101.33202251,0
62.791983838,101.27658541,0
62.794289645,101.04272767,0
62.833470532,100.95373573,0
61.698545366,103.64328927,0
61.496041659,103.76744117,0
61.419142176,103.68314552,0
61.052625456,104.13269741,0
60.892241527,103.71417252,0
60.515317996,105.42857915,0
60.525391597,105.31338087,0
60.496798655,105.21944245,0
60.734653129,104.08361347,0
60.682975561,104.25131126,0
60.685538354,104.4145281,0
60.117201077,105.85067322,0
59.925384478,107.32953349,0
59.885793693,107.43313925,0
59.842594168,106.96294601,0
59.858469725,107.10353012,0
59.901678418,106.64542838,0
59.774601515,106.92306501,0
59.946842528,106.77597628,0
59.946418848,106.250542,0
60.502592835,102.98591426,0
60.559561173,102.31848374,0
60.836716154,100.63040954,0
61.040661497,98.94647256,0
61.211654016,98.420276777,0
61.449695307,96.62604343,0
61.633528142,95.280288067,0
61.643840223,95.321623097,0
61.137908297,97.302367189,0
60.954618343,97.931059365,0
61.133581236,97.391651852,0
61.176217448,97.822920219,0
61.304760979,97.624191847,0
61.360836475,97.313208452,0
61.238754812,97.582505659,0
61.266577242,97.927459702,0
61.382522285,97.635986544,0
61.211384746,98.426675339,0
61.202308815,99.059175792,0
61.163120224,99.46999788,0
61.048792646,99.681705249,0
61.02090963,99.749457425,0
60.829819514,100.27817495,0
60.756563923,100.1785667,0
60.368096077,101.9679521,0
60.354326611,102.33908339,0
59.816928157,105.29478935,0
59.181063496,108.84332331,0
59.105972099,108.87295252,0
59.383568403,107.74674174,0
59.527771112,107.02170973,0
59.769871136,105.65613307,0
60.076919878,104.80558556,0
59.940223409,105.83547376,0
59.138302455,109.69213043,0
59.158552462,110.60111323,0
59.23236906,110.09619664,0
59.370265436,109.54878122,0
59.868957148,104.88814268,0
59.962131068,103.13153601,0
59.99619976,102.33128109,0
60.110895072,101.43585406,0
60.146033239,99.508153024,0
60.170969304,98.366607915,0
59.571797841,99.279734513,0
59.335532392,99.395507374,0
59.589209291,100.06280503,0
59.759044377,100.43986911,0
60.305240278,98.853041401,0
60.698337477,97.83123336,0
60.732498615,98.136999379,0
62.308647633,94.524773133,0
63.199017,92.987750324,0
62.985246489,94.343586349,0
62.846394527,95.249276996,0
