one,two,three,four,five,y
1.225577646,65.77683608,-87.85029532,-2.011997325,22.76101467,0
1.19235478,65.59824813,-88.4417688,-2.372025643,23.01253145,0
1.177123042,65.26629362,-89.03925468,-2.626088326,23.47961655,0
1.165440724,65.1921844,-89.47737201,-2.77686036,23.5361012,0
1.146413519,65.18006697,-89.71429677,-2.814529267,23.94710712,0
1.150572182,65.172366,-89.85727823,-2.853792334,23.89238178,0
1.15878819,65.11486684,-89.85593271,-2.962905857,24.02794247,0
1.11909692,65.18351058,89.90081568,-2.929139626,24.26780426,0
1.097748155,65.09846432,89.74399403,-2.854748352,24.17242091,0
1.117929757,64.88469249,89.67752263,-2.71548464,24.36233869,0
1.137034548,64.87806207,89.63881948,-2.665331561,24.34587554,0
1.123062777,64.947087,89.69499677,-2.707228482,24.23987745,0
1.126284422,64.97103404,89.69955931,-2.716978127,24.36588038,0
1.118673428,65.02496591,89.70931577,-2.909864296,24.2906253,0
1.124037555,64.99382644,89.71096808,-3.033674264,24.45268124,0
1.123241084,65.04255326,89.61605854,-3.071442437,24.43793034,0
1.110333007,65.03429135,89.55239274,-3.131839185,24.52525796,0
1.135328878,64.5935186,89.29968414,-3.109026931,24.59234402,0
1.13172512,64.26025921,89.13279259,-3.352598,24.70853291,0
1.125814845,64.13037811,89.04146904,-3.472711293,24.65595485,0
1.109935329,63.95839102,88.88724444,-3.442837373,24.78277997,0
1.132686259,63.29920017,88.81474176,-3.091066876,25.41976631,0
1.112905925,62.89549321,88.64661567,-2.910354959,25.74374883,0
1.080038995,63.16053365,88.74916926,-2.75604351,25.56621338,0
1.082231108,63.2334988,89.13459303,-1.891461896,25.30825239,0
1.084227483,63.47050421,89.35586792,-1.475950867,25.09983801,0
1.136276546,63.43343588,-89.95325902,-1.133640288,24.81081881,0
1.159823668,63.58446867,-89.40822562,-1.014025198,24.77369917,0
1.156904879,63.78376307,-88.86840564,-0.694468739,24.60694003,0
1.13819997,64.05978508,-88.21303489,-0.53846659,24.4429018,0
1.132677995,63.8201729,-88.08186045,0.181423639,24.39886699,0
1.140235305,63.89960334,-87.70118925,0.458746224,24.34332362,0
1.176446462,63.89007794,-87.54813587,0.977064285,24.22465084,0
1.236495264,64.14681396,-87.4119078,2.181491455,24.38854365,0
1.177181585,64.25565632,-87.2896076,3.114097671,24.31717828,0
1.198176595,64.42664465,-87.0726744,3.602829435,24.11553196,0
1.230410427,64.37328054,-86.78416381,3.835192221,24.19002535,0
1.207786161,64.41464159,-86.58518554,4.228654327,24.24618617,0
1.201154578,64.59972537,-86.82310206,4.287737051,24.32903362,0
1.211213094,65.02733034,-87.00937914,3.233457146,24.41572964,0
1.15833611,65.31998719,-87.40464607,2.729359057,24.31563351,0
1.202337876,65.18555616,-87.4556196,0.9894436,24.30155099,0
1.187530593,65.03740864,-87.72649675,0.503905825,24.45726494,0
1.256039644,64.43748658,-87.90761537,0.28369414,24.91226264,0
