Nose And Shoulder Angle,Eye Angle,Label
65.498083914,104.0772153,0
65.477308168,103.46955616,0
65.94687992,100.92767022,0
65.790100181,99.743177862,0
66.043937972,97.707009916,0
66.622271625,96.23664409,0
66.788773598,94.585063001,0
66.340840014,95.156533856,0
66.476169129,94.965354231,0
66.752758234,94.226495825,0
66.712259776,94.472932078,0
66.905126996,94.484445034,0
66.816199915,94.512110946,0
67.022112198,94.003966321,0
66.911290741,93.987796628,0
66.80424683,93.897746762,0
66.633736406,94.65307889,0
66.727388993,94.873741327,0
67.14796049,93.938140605,0
67.08551527,94.116238952,0
66.778683662,94.446430744,0
66.708632108,95.033318758,0
66.6648849,95.457287157,0
66.628293102,95.676672561,0
67.170612959,94.313482586,0
67.284514716,94.145335836,0
67.265849081,93.609106028,0
67.205224439,93.751521232,0
67.161929674,93.6846898,0
67.120816597,93.869398217,0
67.272046023,93.974146271,0
67.451206942,93.644984075,0
68.673875775,90.379806783,0
69.162765558,89.658101917,0
69.900738803,87.997592849,0
69.886565455,88.158709329,0
69.881658135,88.425909152,0
69.485098212,89.564285335,0
69.080939642,90.422532514,0
69.018692625,90.341419794,0
68.637121876,90.996997004,0
68.119062083,91.833131937,0
68.038818386,91.435495159,0
67.92256702,91.549499606,0
67.815041611,91.652280931,0
67.836579368,91.414822418,0
67.875865295,91.213840649,0
67.879571706,91.14042569,0
67.801316736,91.127076493,0
67.806533251,89.146062577,0
67.822565279,88.877403311,0
67.826999295,88.935860478,0
67.770389793,89.029022273,0
67.571479346,89.537371268,0
67.578794161,89.737895733,0
67.632995981,89.799220672,0
67.701696873,89.530426477,0
67.909829429,88.944938644,0
68.644425288,86.638453696,0
68.565156414,87.138708945,0
68.520287901,87.184591116,0
68.553735682,86.956959879,0
69.05113822,84.933638287,0
69.046547074,84.808474642,0
68.984477931,84.480498649,0
68.941035841,84.466586287,0
68.914591169,84.308009458,0
68.84748013,84.7375895,0
68.731274131,85.148578566,0
68.75808939,85.387363867,0
68.742141199,85.679855314,0
68.785530023,85.795216095,0
68.815809852,85.851746697,0
68.546591271,86.220428312,0
68.516476111,86.1998347,0
68.234655933,87.143994149,0
68.056030838,87.645675491,0
68.019290665,87.814565539,0
67.946600164,88.086379751,0
67.940081957,88.072788868,0
67.846993688,88.342560461,0
67.924936191,88.015909114,0
68.076972513,87.680647479,0
68.398279292,87.132129895,0
69.969397598,83.89522905,0
70.273128374,83.54234366,0
70.260890359,83.910680504,0
70.312838566,83.682142409,0
70.089298625,83.95334495,0
69.667630532,84.97697507,0
69.264278094,85.823771006,0
69.266313179,85.102478071,0
68.968252752,85.431459146,0
69.084826008,85.011334769,0
69.154883101,84.74719402,0
68.948572141,85.372484684,0
68.698495329,86.065724998,0
68.63494485,86.017264824,0
68.832016799,85.473009613,0
69.201943533,85.50113231,0
69.504404504,85.293741648,0
69.572569986,85.429834537,0
69.615864,85.598609616,0
69.630542132,85.884731876,0
69.649848711,85.920984963,0
69.655596583,86.036160556,0
69.601990766,86.203037161,0
69.626481258,86.647772749,0
69.403727765,87.294730934,0
68.520436196,90.020521713,0
67.833860749,92.201128288,0
67.523794739,93.199592816,0
67.317252891,93.736176913,0
67.229837111,92.858018021,0
67.208205653,92.420862523,0
67.201362559,92.148794471,0
67.214199919,92.402191297,0
67.270446657,92.243418549,0
67.401394659,91.878417782,0
67.553986718,91.630596361,0
68.168401177,89.642102357,0
68.466183992,88.930417555,0
68.771388277,87.92001127,0
69.054477495,86.838623915,0
69.802694951,84.679428055,0
71.106972071,81.114801737,0
71.233888612,80.882909922,0
71.306368682,80.526783314,0
71.354024552,79.886120346,0
70.984147581,80.789836626,0
70.941252205,80.751749277,0
70.743888862,80.460740667,0
70.570145917,80.113458847,0
70.283905547,78.918036281,0
70.402885476,78.108320796,0
70.374826301,78.247227175,0
70.667874535,78.361457401,0
70.792281136,78.065413754,0
70.897871336,78.131994873,0
70.444482878,79.032291543,0
70.449199561,79.241694915,0
70.490923875,79.763188591,0
70.365874014,80.532176682,0
70.484366234,80.366595384,0
70.698345115,80.247935606,0
71.025777481,79.399872562,0
71.170272692,79.401626694,0
71.30761032,79.299302817,0
71.282365379,79.77032377,0
71.065957672,80.643284454,0
71.218361206,80.427965933,0
70.41611915,81.711692659,0
70.213921296,82.998691895,0
70.219121595,82.961398976,0
70.209024699,83.08145448,0
70.879713665,81.778878797,0
72.216491052,79.302230192,0
72.333365627,78.987300279,0
72.26069408,78.907283554,0
70.507364046,83.51360866,0
69.813915671,85.967442401,0
68.472392405,90.330871639,0
68.185938696,91.34079724,0
67.90449685,92.310025598,0
67.569200807,93.471166404,0
67.148868803,94.203503688,0
67.051065638,94.390010861,0
67.014138416,94.346058987,0
67.03097438,94.260861093,0
66.964658288,94.211985505,0
66.938037136,94.417683199,0
67.689536352,92.16699062,0
68.040925054,91.346447005,0
71.336419033,82.493659545,0
71.114159676,83.14752107,0
70.783862656,84.377431518,0
70.351781885,84.580049712,0
70.068801581,85.288554392,0
69.98562996,85.688170322,0
69.928733755,85.858173271,0
69.765589863,86.335110338,0
69.704072008,86.544160177,0
69.491250852,87.484611887,0
69.525873904,87.727568501,0
69.319512604,88.213420425,0
69.273582922,88.453458705,0
69.337451732,88.529270224,0
69.29073177,88.463137632,0
69.506003969,87.858028779,0
70.138548524,86.100289079,0
70.151751953,86.310041122,0
70.289494112,85.833209828,0
70.317199173,85.848153193,0
70.338498276,86.418574704,0
69.998245731,87.445366718,0
69.915743316,87.967240796,0
69.894400934,88.246382532,0
69.82354604,88.480567546,0
69.807292155,88.553427452,0
69.80885634,88.604556412,0
69.837778903,88.475481964,0
69.842960224,88.396563965,0
69.895425398,88.244174777,0
69.95287594,88.130077518,0
69.938638358,88.239973472,0
69.919477548,88.350236197,0
69.984464516,88.144547881,0
70.035475429,87.971573146,0
69.352814837,89.202598887,0
68.908249033,90.060615433,0
68.600006538,91.343864729,0
68.580291565,91.535635252,0
75.115828452,76.171346954,0
78.605126854,70.059450208,0
80.101827522,67.945690122,0
81.772642173,66.779327492,0
82.861114249,65.574837718,0
81.659513151,65.395476041,0
81.564100316,65.571271127,0
81.91859667,66.121498689,0
82.147056102,66.514028343,0
83.104468527,66.710951516,0
83.720683542,66.711490417,0
84.072420507,67.124183388,0
84.2846102,67.372812891,0
85.789119477,68.877149512,0
85.708247897,68.724533711,0
85.897022607,68.815072749,0
86.016602474,68.796159239,0
85.175249065,69.879655006,0
85.147698344,70.074039907,0
84.231867972,71.684477469,0
83.780404492,72.624555242,0
90.597838708,69.466495193,0
93.307016362,68.545812741,0
94.965735598,68.164012464,0
101.60451594,63.169648344,0
104.42468286,60.664084469,0
108.5713877,57.483282942,0
108.48244821,56.994528553,0
105.49732226,49.173905388,0
103.58657884,47.800152922,0
115.52233851,48.512536952,0
118.94706563,49.917705002,0
128.93871933,48.908240437,0
132.5169003,48.651592157,0
131.78459512,48.649232552,0
131.921931,48.327339529,0
130.64134746,49.332595609,0
129.52795086,50.042673629,0
130.34374739,49.315105127,0
133.56303906,50.449459836,0
135.26539151,50.854579012,0
138.89980035,51.494092458,0
140.8230235,51.660024488,0
141.80362685,52.633934358,0
142.11638524,52.891171002,0
142.68169462,53.536811867,0
144.08494135,53.575847517,0
146.05695718,53.307802073,0
146.23300022,53.683922971,0
146.00579855,54.568434622,0
145.64923057,54.949780412,0
145.09088502,54.022992134,0
144.79653543,53.519971058,0
142.46299744,51.761355516,0
140.67098327,51.219669015,0
137.41713252,51.154686658,0
133.75354362,51.318299996,0
131.96319279,51.421954088,0
127.27536799,51.380189942,0
125.52953267,51.31645386,0
126.21879463,51.215793223,0
127.3505853,51.243926455,0
129.92084559,50.554047916,0
131.68237514,50.154890041,0
133.86193638,48.718590722,0
135.65405254,47.912744151,0
135.78810622,47.494219821,0
135.9782537,47.785348163,0
133.50490654,47.885221069,0
132.12877721,47.894401309,0
135.33870765,48.91943857,0
137.29787534,49.522319911,0
139.47981066,49.251294349,0
139.23304905,49.53693321,0
138.63364159,49.953862262,0
135.28045817,50.716363563,0
133.05129803,51.060653221,0
133.66587223,50.991290977,0
134.06630956,50.952927136,0
134.03939683,51.416084178,0
134.2874439,51.615067786,0
135.64404769,51.619329846,0
136.51553032,51.603834868,0
138.56504777,51.102809083,0
139.63818086,50.87070469,0
141.41284782,50.422292997,0
144.18411087,50.574558972,0
144.23377023,51.170919387,0
144.26931933,51.479004589,0
144.90692213,51.006284316,0
145.63436969,50.576672642,0
146.06403276,50.063714149,0
148.29033336,49.422210825,0
149.66018005,48.975649469,0
149.98081864,48.559424568,0
150.1139412,48.274157604,0
