face rotation,shoulder between angle,neck angle,shoulder angle,eye angle,y
1.185602046,48.38326002,89.04638306,0.942207366,132.8773893,0
1.161733268,47.68055047,89.0945572,0.935334152,136.3670342,0
1.135239107,47.61305953,89.21265523,1.259336351,139.4207185,0
1.131074551,47.50379145,89.08182808,1.379532333,140.3202589,0
1.126286972,47.43010033,89.0343523,1.537324032,141.4759477,0
1.112418164,47.28808054,89.15104492,1.548064214,141.6636692,0
1.119167561,47.29648631,89.10867809,1.824431272,141.7428863,0
1.127252785,47.248969,89.1442544,2.00329818,142.0149877,0
1.138369415,47.2898207,89.11362206,2.182983859,142.0997869,0
1.137657092,47.27611276,89.13942312,2.205512677,141.9443627,0
1.136206556,47.22962997,89.1360747,2.314702374,141.3314607,0
1.133736794,47.15975096,89.19214312,2.190415395,140.7914733,0
1.130175057,47.13696604,89.27826285,2.578786201,140.911179,0
1.13405531,47.28205956,89.23497648,3.159491631,141.3537765,0
1.128325569,47.37398898,89.27944986,3.657262908,141.4529731,0
1.123023949,47.30138431,89.33485496,3.646477672,141.848446,0
1.123552651,47.26597967,89.31348989,3.627864064,141.9997731,0
1.123766066,47.15686815,89.31271542,3.875301569,142.0004284,0
1.120277268,47.1331122,89.36732167,3.852577011,142.0407986,0
1.11107411,47.09712963,89.44445642,3.776158202,142.3099027,0
1.099634885,47.07453291,89.52122335,3.67777549,142.3308209,0
1.081599963,46.99965259,89.65871165,3.542329302,142.6795928,0
1.055460195,46.96401034,89.85404231,3.387281348,143.3207319,0
1.047670059,46.87699723,89.90255338,3.361862606,144.0355661,0
1.04448013,46.82312642,89.93817471,3.323464383,144.5057304,0
1.039571424,46.79016853,89.94436221,3.31021117,144.9373287,0
1.035807598,46.77638809,89.95175207,3.299598658,145.0923581,0
1.032701453,46.76705425,89.95720091,3.294558168,144.8260126,0
1.041969409,46.87641249,89.89495168,3.211669692,146.0137216,0
1.047550307,46.96986057,89.82824348,3.08777168,146.3154237,0
1.05704214,47.05624117,89.75725571,2.920740004,146.7197704,0
1.0642285,47.06578513,89.68978853,2.866237395,146.9763511,0
1.069223038,47.1374806,89.64269204,2.685244155,146.8307682,0
1.075073721,47.19151436,89.60387493,2.632536329,145.8197311,0
1.074864025,47.22843157,89.61799343,2.548991414,144.8696307,0
1.07635404,47.28145329,89.60531716,2.34917251,144.4638936,0
1.075924767,47.3827064,89.61538932,2.130953304,144.0295372,0
1.075968617,47.45782634,89.63192082,1.986863619,143.6752889,0
1.078557682,47.53071797,89.66071105,1.835834339,143.0840833,0
1.080196977,47.54991372,89.70933281,1.836024544,142.8370546,0
1.081740899,47.59270566,89.73632401,1.819484682,142.4149482,0
1.081862313,47.6232231,89.76384564,1.964267543,141.8180034,0
1.085672693,47.63261991,89.78618317,2.187026919,141.3184715,0
1.088988572,47.64973594,89.77350146,2.230052168,140.7724789,0
1.092393301,47.66409911,89.74915397,2.46626497,140.5074412,0
1.096218247,47.67171482,89.71276883,2.682433307,139.8141179,0
1.103131416,47.57583066,89.64653312,2.935293416,139.5941408,0
1.110147545,47.5631365,89.61710355,3.027687571,139.6739534,0
1.11373964,47.50420311,89.62038362,2.883587498,139.4973194,0
1.117759777,47.42212314,89.61565861,2.706909018,139.5652696,0
1.119670934,47.4216877,89.57881909,2.579472194,139.4787338,0
1.125896454,47.42935715,89.52273628,2.539602756,139.5516179,0
1.128099601,47.29916004,89.41313156,2.551276219,139.3628477,0
1.130011486,47.35791263,89.40221726,2.55044052,139.1313668,0
1.130637494,47.3314478,89.38638475,2.549678542,139.2527292,0
1.131671501,47.38509436,89.38181614,2.434968857,139.0043979,0
1.134276207,47.39650864,89.4052342,2.372066819,139.2673684,0
1.135238721,47.41072721,89.40987431,2.290158939,139.4859328,0
1.139180602,47.32396669,89.38624157,2.382777214,139.4598752,0
1.144020354,47.32836458,89.36210741,2.503531577,139.4664939,0
1.147407797,47.33335092,89.34419777,2.584055589,139.4954637,0
1.144505653,47.27291708,89.30322305,2.678046914,137.2512136,0
