Nose And Shoulder Angle,Eye Angle,Label
65.423981436,97.291219593,0
64.861774749,98.767439288,0
64.505873845,98.001139091,0
64.045615832,97.196566317,0
63.889033446,96.862417532,0
63.819276938,96.414228109,0
63.733716853,96.540806044,0
63.893149039,96.421018761,0
64.199864976,97.114504871,0
64.497573292,98.082605121,0
64.672000297,98.082497432,0
64.886624334,98.312690102,0
64.949847207,99.169439136,0
64.973400457,99.73555501,0
65.589848676,98.614565516,0
65.554889143,98.774331455,0
65.523832531,98.840237223,0
65.717827843,98.264734788,0
65.946391366,97.542114186,0
66.256537647,96.378650401,0
66.446193857,95.683560451,0
67.245211844,94.09977021,0
67.796787347,92.929927479,0
67.760775667,93.278731143,0
67.756007691,93.438264709,0
67.776954682,93.408508996,0
67.793964098,93.290001361,0
67.79262371,92.738014087,0
67.797199149,92.526040412,0
67.287276672,92.183496785,0
67.10790078,91.685135846,0
66.743176264,92.402255148,0
66.435973763,93.08102966,0
66.478249228,92.842602806,0
66.536209792,92.615610366,0
67.564688478,89.385994515,0
68.015431862,88.392494501,0
68.285330671,87.815236459,0
68.118811785,88.11395868,0
67.981700317,88.426220099,0
67.819935636,88.458742304,0
67.712011068,88.560148805,0
68.149602071,87.766962754,0
68.604007011,86.974771757,0
68.483872093,87.193214042,0
68.391400182,87.36268783,0
66.791634586,90.995553461,0
65.966160997,92.890113984,0
66.096355149,91.951412523,0
66.213653724,91.166993263,0
66.182925205,90.384120593,0
66.202121017,89.785473109,0
66.612789346,88.783861982,0
66.766155213,88.645111162,0
67.248322822,89.064870185,0
67.561306187,88.83261243,0
67.76813435,88.876335938,0
67.838718639,89.595193791,0
67.906569857,89.92131141,0
68.102873893,89.829498601,0
68.313335276,89.571814058,0
67.334021852,92.078438031,0
66.809791196,93.469380038,0
66.64962585,93.557564077,0
66.714809591,93.587375868,0
66.683912462,93.584410108,0
66.653162986,93.566240219,0
66.592779482,93.830216004,0
66.595721147,93.937879219,0
67.023504641,93.148665788,0
67.17558269,92.947322728,0
67.221399461,92.872717118,0
67.187145356,92.461267532,0
67.139546371,92.187047604,0
66.719467002,93.419869385,0
66.321069457,94.583567465,0
66.375143376,94.689262801,0
66.420647421,94.744357603,0
66.449550046,94.747418917,0
66.570321121,94.409199491,0
66.729257142,94.636057213,0
66.862383083,94.715056478,0
68.042034164,92.446593851,0
68.792873485,90.98398771,0
69.318053524,89.870277503,0
69.33135221,90.009678822,0
68.11122671,92.751150573,0
67.385193875,94.259753417,0
67.412992319,95.873824386,0
67.568701262,96.189241385,0
68.094752627,96.00344698,0
68.702683707,95.659491125,0
69.400339439,93.998998509,0
70.078179395,92.531279304,0
70.789442565,91.203974524,0
71.143013172,90.631954925,0
71.491465596,90.216359681,0
71.446258631,90.698021861,0
71.394904592,91.035032472,0
71.431321574,91.177048846,0
