Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
0.98988355481,60.615185843,91.137503755,-179.5814569,94.778394579,0
0.98008332051,60.603925854,91.202123089,-179.58156124,95.086980185,0
0.99169734446,62.504609222,91.215697655,-179.47771391,88.602463779,0
1.0073105912,64.061899391,90.967045523,-179.41765756,85.86706272,0
1.033784572,64.442183785,90.723252511,-179.46708036,86.230466582,0
1.1419893388,64.273231722,88.916376225,-179.4529399,86.702381692,0
1.1992193383,63.553818115,87.732978809,-179.38843128,86.242937453,0
1.1675267398,63.242034106,87.891141618,-179.36977925,85.55926083,0
1.0582529125,61.557331062,89.172393424,-179.48953658,89.495635048,0
0.92457101621,60.10747816,90.972522393,-179.67542409,93.623796657,0
0.87256886742,59.067503449,91.678079355,-179.881075,95.781054295,0
0.90275143333,59.878295828,91.420248298,-179.89983326,92.778406875,0
0.89088582847,61.097071077,92.243771288,179.50474394,90.820197116,0
0.81693408189,61.044012717,93.688808061,179.37618517,88.393896235,0
0.72750580251,60.854644584,95.65683267,179.35021979,84.539917468,0
0.75555782185,60.901425924,95.206569095,179.37681365,84.494644732,0
0.76796437002,60.923495503,94.935166157,179.5219166,84.073558092,0
0.78422672225,61.498439602,94.882521335,179.59888996,81.012422256,0
0.7956861211,61.651789369,94.782080722,179.80048402,80.189581233,0
0.82410539316,62.24269794,94.492596894,179.86425014,79.181102901,0
0.77378527028,61.52227862,95.58431801,179.80680971,78.104341833,0
0.71824083682,59.604376003,95.913704649,179.77093718,82.139483291,0
0.64132179911,59.968685146,98.841979893,179.44751807,72.997027034,0
0.67579120866,60.30178615,97.95430414,179.47302577,74.397668905,0
0.80619704863,62.68093824,95.723168995,179.79101441,73.230833032,0
0.70881821554,58.353460114,95.531108607,179.5765658,87.026727915,0
0.59520661896,55.461893953,95.365817142,179.55107334,97.635485172,0
0.60753537532,55.57664497,95.078833885,179.58169331,98.716188644,0
0.6186267343,55.641246135,95.145606127,179.5571008,98.16244413,0
0.6556715773,55.876333616,95.18058903,179.47709853,95.823771782,0
0.68950714085,55.764111675,95.087184373,179.51339189,93.072128168,0
0.7209168326,51.355012331,95.655442301,179.09583583,72.162745399,0
