Nose And Shoulder Angle,Eye Angle,Label
69.342526272,86.094530189,0
69.481813722,85.084295631,0
68.627841794,87.839109014,0
68.290827501,88.58233398,0
68.181035624,88.08523618,0
68.066781596,88.505494648,0
67.56752562,89.672716211,0
67.528371728,89.737654935,0
67.557908075,89.905782001,0
68.143303539,87.662615501,0
68.117679253,87.537060219,0
68.053565627,87.732785153,0
67.974621239,87.91110815,0
67.827587168,87.813082991,0
67.843933791,87.324311664,0
67.780955647,87.222355218,0
67.608187103,87.375079224,0
67.624376521,87.481463555,0
67.654738802,87.447410227,0
67.876457403,86.659820949,0
67.939516273,86.121627215,0
68.019844478,86.132173904,0
68.329724418,85.135058874,0
68.356378823,84.862240465,0
68.472070518,84.16805931,0
68.425592493,84.061347205,0
68.510767825,83.972841231,0
68.628170456,83.626446437,0
68.553781109,84.001916859,0
68.808496603,84.252126761,0
68.856642223,84.401309675,0
68.947187109,84.328455326,0
69.351035594,83.516061828,0
69.374363782,83.188908207,0
69.687471645,81.76665993,0
69.677690145,82.08701929,0
69.590374184,82.303554771,0
69.341024301,82.679519728,0
69.107061405,83.491743219,0
68.358382575,85.975535067,0
68.257561644,86.38941681,0
66.989917137,90.683031171,0
66.826333973,91.358927307,0
66.831513316,91.641028755,0
66.827415725,91.597597087,0
66.80119182,91.665717149,0
66.684702337,91.511259533,0
66.685833124,91.506518883,0
66.670976785,91.492486115,0
66.665104516,91.525767312,0
66.569635266,91.856015388,0
66.409829918,92.181540515,0
66.26640642,92.649314885,0
66.266301065,92.709656763,0
66.276430779,92.74814873,0
66.098711159,93.330194325,0
66.866990677,90.723628678,0
67.146901691,89.558718539,0
67.838642792,86.980096938,0
68.240256123,86.05887808,0
68.363732742,86.163389239,0
68.546497037,85.732256749,0
68.267405197,86.184454093,0
69.508411771,82.596246771,0
70.024952836,81.682664584,0
71.157267314,79.080406498,0
71.630182831,79.136855642,0
72.87542147,76.561601335,0
72.88298794,77.200144695,0
73.087965241,75.544010496,0
74.981028505,72.406145977,0
76.014499782,71.612542971,0
76.133890026,71.280919413,0
78.384654096,68.73689415,0
79.37085928,67.445176051,0
78.681927716,64.407108321,0
78.876407679,64.497628351,0
78.783822942,65.654266606,0
82.675391897,61.545049202,0
83.412946955,62.109785048,0
85.587821257,62.67999634,0
86.842125084,61.685424934,0
86.593936552,61.36565526,0
86.447470066,62.061303358,0
86.498918062,62.192469142,0
86.396058459,62.517101431,0
87.115570169,63.035913508,0
88.849495969,60.67401124,0
89.503636973,60.072335646,0
88.990014045,60.050300609,0
91.412551787,58.94655813,0
91.813599971,58.990804848,0
93.926924861,56.175235791,0
95.886610084,53.651374516,0
96.229051762,54.846243113,0
95.787319301,56.077101461,0
100.87377546,53.076327514,0
105.53997688,51.195204497,0
111.28671135,50.654552956,0
111.38684912,51.20803347,0
110.53936762,48.964675309,0
110.43181238,49.040474592,0
109.50311888,47.712453276,0
110.6403222,48.596041029,0
109.9998348,49.302106221,0
109.85285315,51.032091198,0
109.43301364,50.796934027,0
108.61938481,50.924592914,0
107.74056954,51.705060936,0
107.59372669,52.961259353,0
108.30555963,52.79995899,0
108.19148996,52.184907229,0
109.02596647,51.514581086,0
110.21009621,51.216098436,0
110.19191374,50.95778062,0
111.21775703,50.554329554,0
111.19727839,50.487839781,0
112.16718124,50.495324754,0
113.68628719,49.707770839,0
114.58465313,48.816423441,0
115.04739941,48.098143479,0
114.78460454,47.747554466,0
115.66178231,47.57612388,0
115.57544381,47.820316123,0
115.76039954,48.179657749,0
115.85532749,48.219663442,0
114.27692511,49.168121052,0
114.02353504,49.196991831,0
113.83516556,49.839318286,0
113.80307335,50.067682864,0
113.43966064,51.391918585,0
113.12815183,51.675528217,0
112.89515919,52.30645519,0
110.97071188,53.010419672,0
109.79849858,52.708033033,0
106.29795862,53.240372372,0
102.75423699,49.457501774,0
93.909400076,51.940512863,0
93.431299983,50.596464663,0
95.646288166,48.714092003,0
96.359402366,49.70003595,0
101.87387474,50.771494738,0
101.27504221,51.308711016,0
100.94581087,51.726349363,0
100.92526947,55.094870538,0
90.940190552,56.829140661,0
84.338531991,59.057986829,0
86.294041907,56.887954733,0
86.353024752,57.988448217,0
84.362510966,60.74245316,0
82.490231988,62.152743696,0
78.836997737,70.279086077,0
76.41455256,74.648940422,0
74.834310155,76.618387277,0
73.347648768,77.967093073,0
71.560789068,80.841205532,0
71.202065932,79.661476283,0
70.315512126,80.456167552,0
66.990949915,89.470007808,0
67.325312655,87.858029643,0
66.904495379,89.512361719,0
65.514533578,94.183747065,0
64.745248697,96.775487532,0
65.144103426,94.593535187,0
65.499327348,93.302522726,0
65.457342085,93.053526107,0
65.650877074,92.559701403,0
65.720569434,92.049550067,0
65.594481304,92.016122558,0
65.77176562,91.510291854,0
65.792197689,91.049026253,0
65.710338132,91.00711003,0
65.717684887,90.894292044,0
65.629275521,91.257063872,0
63.009110655,99.26441369,0
58.464888755,116.75607831,0
54.380066926,134.2765657,0
51.891788045,147.0236724,0
49.550802182,157.09017454,0
47.879541653,166.28919249,0
47.496377911,167.88202784,0
46.200494249,172.35567275,0
44.748075575,179.50371445,0
44.308274034,177.67461129,0
43.453935519,175.06979054,0
44.181926911,179.91117085,0
44.441050971,176.76423877,0
45.027535677,172.10183009,0
46.025470441,164.62715358,0
46.130838015,167.5838014,0
46.897842613,168.03466094,0
47.048159059,167.43243656,0
48.601414989,156.61880306,0
49.86555751,145.38512496,0
51.574119012,132.55791761,0
51.566995839,136.17143539,0
51.463700596,138.03584739,0
51.223867825,142.69170211,0
51.075753354,141.80656286,0
51.044881398,141.45305034,0
51.158709222,142.88525109,0
51.050026482,144.51268019,0
51.179336518,143.2943635,0
52.048846668,133.54325934,0
52.215013599,132.45157676,0
51.245707571,143.39511377,0
49.33788701,161.95905344,0
47.199859814,175.16540023,0
46.036942491,179.7260532,0
43.90829828,158.70946048,0
42.696174081,160.51824029,0
42.805921148,168.48974947,0
43.105067628,168.18535392,0
44.544852383,176.79993288,0
45.474302021,167.95831872,0
46.705110995,158.60495368,0
47.167584646,156.08767017,0
47.640716635,153.87692971,0
48.369734878,150.78553766,0
50.90484466,138.85877823,0
52.410057272,133.34210086,0
54.357064124,125.63892309,0
55.128003926,123.08084299,0
61.004834755,96.734037427,0
64.514563803,87.214142419,0
65.509682775,86.078286172,0
67.707392235,82.199058658,0
66.769269328,85.367677142,0
68.44505794,82.967839812,0
70.302938349,79.54578528,0
73.490913083,72.744883052,0
72.675072323,71.682921138,0
74.831514541,69.05215861,0
75.32129393,67.654313202,0
74.785707164,68.179220297,0
74.317715078,69.124668761,0
76.326743278,65.65132783,0
76.046819553,65.061557197,0
75.427451155,63.754312396,0
75.531681003,64.136843326,0
76.627494441,64.175280231,0
79.30253394,63.083596808,0
78.647590847,63.615478538,0
79.598853586,62.946545003,0
81.266648683,61.35748223,0
82.019007709,61.067723755,0
81.49868893,58.827965744,0
82.875232975,56.481433682,0
81.95396905,56.110204481,0
81.373958038,55.267994569,0
81.079555347,55.509263432,0
80.954081698,55.953042813,0
81.04162418,56.869577643,0
81.257462223,58.303953846,0
81.26462083,59.653888013,0
81.482897416,60.631248314,0
81.602643764,61.244746105,0
82.25324125,60.704087513,0
82.928408337,58.779667273,0
84.117431673,56.140557588,0
83.505222469,53.426142785,0
84.096221281,53.470823944,0
84.29903574,56.585843424,0
87.15599805,58.305106061,0
89.668384557,55.416377706,0
90.304696434,55.949311015,0
90.451939429,56.647547961,0
91.007206354,57.082795811,0
90.668411425,56.683829705,0
90.436554607,55.918289712,0
90.106614494,56.506981105,0
90.351438337,56.251698747,0
90.309589172,55.805502861,0
87.697448985,56.694239048,0
84.758911399,57.235314779,0
85.665581418,57.686110391,0
84.980509483,56.679170214,0
84.628615651,58.180900456,0
85.658475012,57.829148024,0
84.373850307,59.878209744,0
83.026954036,61.950233246,0
81.623890866,63.450973099,0
79.942442658,63.962775003,0
78.56833442,67.445535244,0
78.405515301,67.790927621,0
78.79374363,69.647337216,0
75.113184517,74.863303963,0
72.741012566,79.97654101,0
71.251562995,82.106282738,0
68.799728446,88.422321667,0
68.517186407,87.080634445,0
67.920085582,87.381164604,0
66.400389984,90.921394216,0
65.914740871,92.761359704,0
64.680321181,96.006689971,0
64.705532262,95.293107445,0
64.955024889,93.596599588,0
65.270475827,92.600546839,0
65.354547823,92.25161907,0
65.471151914,91.861313128,0
65.584117044,91.335187154,0
65.722280828,91.21107106,0
65.710273838,91.013825005,0
65.724750356,90.041472649,0
65.603255955,89.932488235,0
64.683390967,91.513177582,0
64.607766083,91.988265475,0
65.863994084,87.118686832,0
66.595718522,85.047634009,0
68.166216679,80.764765491,0
174.31373897,59.524243571,1
175.70887241,60.046905752,1
179.54901848,58.743820973,1
179.01948547,59.135129508,1
177.66270384,59.36309313,1
174.71960832,58.696964211,1
172.86782669,57.313398752,1
175.57963851,57.835843005,1
176.06356195,58.148302548,1
176.20106974,58.314191206,1
174.69240018,57.563633363,1
175.33245624,57.408891223,1
176.01713234,57.621921255,1
176.4479078,57.818653761,1
177.43960332,58.712940414,1
177.69503488,58.780921322,1
176.75742989,58.748510947,1
176.38566143,58.967810882,1
174.38555903,58.848040193,1
174.79752032,58.996890687,1
174.58991476,59.64851012,1
173.99757003,59.92782078,1
174.06129434,60.267886122,1
173.10455354,59.960725949,1
172.22909135,60.369764865,1
171.45886812,60.486459718,1
168.498259,59.848785689,1
169.7505686,61.359108494,1
168.6764399,60.80911343,1
171.89747474,61.485803821,1
173.93346005,61.646114635,1
179.96350509,61.33720154,1
178.23932259,61.142715248,1
175.55832768,62.340836727,1
173.91554905,62.854703739,1
173.98395033,62.925883146,1
175.42306241,62.775616262,1
176.10883,62.657821624,1
175.10636317,62.484439859,1
175.93047525,61.864547118,1
175.47561264,61.278709497,1
175.50443463,60.851301868,1
171.54791563,59.618237057,1
168.83251251,59.151792218,1
166.38708287,60.345251909,1
165.07815076,61.017750639,1
159.01868536,62.125113997,1
156.02642366,62.66010689,1
146.13008809,63.972814738,1
144.62453988,63.051089272,1
140.14426339,63.607631875,1
138.22309388,63.948817435,1
139.87371025,63.827784561,1
141.25227204,63.586555956,1
139.33433737,63.340021097,1
138.01536168,64.540112154,1
135.54244455,65.565391245,1
128.47160075,69.2238098,1
125.26871063,70.884886376,1
126.85564799,69.459682705,1
127.54175179,68.471668078,1
128.34856071,67.504610096,1
128.90218508,66.920021532,1
130.53674255,65.802718199,1
131.57212322,65.026221899,1
131.74619555,64.838954365,1
131.83504674,64.661135184,1
131.2976027,65.172088017,1
130.83188744,65.556054978,1
132.12403936,64.845850168,1
139.63668143,61.50455842,1
143.77377444,60.55014944,1
150.96455786,58.917365907,1
155.71596114,57.295439472,1
159.59682511,54.069908915,1
176.58081999,52.11829795,1
171.86461448,53.126883404,1
158.2514868,49.672996062,1
147.16652257,49.629357437,1
145.64759913,49.846548904,1
147.74193941,50.277417514,1
146.64334277,49.708302071,1
143.94378814,50.249609793,1
136.44191321,50.244231974,1
138.50146475,50.852518626,1
133.40836009,51.174731929,1
130.0309295,53.534403707,1
124.90769092,51.881198116,1
123.55049037,54.866338235,1
118.40761152,54.560767297,1
116.03016992,54.411156528,1
113.87951566,56.698250011,1
113.24959575,56.516937538,1
114.67638812,58.383578538,1
115.62487998,60.616683082,1
118.98858665,60.814857735,1
120.36783139,60.319110805,1
119.9918896,60.527896086,1
119.07780321,60.326157544,1
120.22267014,60.042015776,1
122.34268622,60.786545196,1
119.919808,59.594074872,1
122.10477669,60.825744657,1
121.21162383,61.419379301,1
121.85870736,63.466640472,1
121.99179864,63.49601293,1
122.77834804,63.927799724,1
123.39093649,64.473599079,1
123.43009093,65.467274798,1
121.40150736,63.163931442,1
122.28662556,63.147091484,1
121.92688318,63.306171317,1
121.89846222,63.020923146,1
122.4791128,63.3414997,1
123.39554191,63.454977022,1
124.20082003,63.586635353,1
124.70399294,64.268069739,1
121.33401903,62.349601956,1
117.13891338,60.396543419,1
115.96488366,59.755776025,1
115.86800814,60.705930068,1
116.28727735,61.000127236,1
115.62538416,61.192789451,1
114.75732024,60.40066271,1
111.80457197,60.376092967,1
110.29808791,59.289524982,1
109.84754318,59.261653238,1
108.13000288,58.495777231,1
108.07505364,57.411475495,1
108.9285106,56.046615731,1
109.69826457,54.97516532,1
110.08146676,55.063369818,1
111.33497422,54.030805244,1
112.61285956,53.115181017,1
115.22902862,53.105067841,1
116.89328528,53.319389638,1
118.30629656,53.79934798,1
117.12373379,53.579213359,1
119.89879354,53.381604954,1
119.80681378,53.76482694,1
119.46845199,53.249374491,1
120.18231316,53.235583169,1
120.17639835,52.662483439,1
120.55214996,52.885709379,1
121.49542496,53.054644233,1
121.46430227,53.022911438,1
121.32530487,53.937490032,1
122.56258234,53.68131513,1
122.42014449,52.940247646,1
124.15703658,53.794253729,1
124.113949,54.146921512,1
124.33036908,54.982631283,1
123.35890683,55.598244185,1
122.00882684,55.875238216,1
121.31790025,56.19243479,1
121.44188157,56.127597262,1
121.2805797,55.984160088,1
121.04339591,55.93059754,1
120.72688146,55.756650745,1
119.84571797,55.771243997,1
119.00218388,55.858491624,1
118.38266947,56.194498074,1
117.5569432,56.319125251,1
117.85034728,56.165869144,1
117.85051913,56.204752237,1
118.54408165,56.375300721,1
118.53362044,56.403975014,1
118.76244202,56.553227995,1
119.42437086,56.660737177,1
119.71889616,56.709541344,1
119.92251702,56.519143554,1
120.46412744,56.353662199,1
120.98384726,56.50181363,1
120.90699748,56.445038029,1
120.95636676,56.713212347,1
120.88207225,56.245516395,1
121.12668254,56.375142978,1
122.02042715,57.406642014,1
122.16630644,57.915035189,1
122.15030735,57.990246776,1
122.20671611,58.046786024,1
122.4921201,57.913880488,1
122.66126708,57.968010972,1
122.43755996,57.982597122,1
122.3973536,57.970135502,1
122.33698766,57.87387591,1
121.53928884,56.766767159,1
121.46580785,56.194809269,1
121.19100641,56.0278455,1
120.53831598,55.579370735,1
120.39357466,55.275000019,1
120.38618938,55.368544506,1
120.37835452,55.451082961,1
120.65416271,55.286815915,1
120.38673997,55.26729667,1
120.21560646,55.271233608,1
120.39941997,55.630449639,1
119.88497176,55.648460932,1
119.53293036,55.922379616,1
118.18366632,55.54937666,1
117.94284431,55.41593771,1
116.58762857,54.859592145,1
114.92866513,55.302489637,1
114.3237878,55.206576294,1
113.49889099,55.256087793,1
110.80105206,55.627684687,1
109.244248,55.705245881,1
109.4121859,55.942185132,1
108.9930324,56.338150267,1
108.02260812,56.928989973,1
106.56273598,57.737305741,1
106.16602732,58.209319559,1
106.57755283,58.798535146,1
106.6948966,58.90058429,1
106.824258,58.86731969,1
106.78969824,58.935485095,1
106.56612582,58.954923244,1
106.25570234,59.23931455,1
106.32238433,58.879810164,1
106.37973768,58.763971469,1
106.56856481,58.037256422,1
107.50570955,57.800514208,1
107.8813073,58.038537078,1
107.92113492,57.596147799,1
108.60394379,57.802982738,1
108.92051386,57.879422092,1
109.09112563,57.877834923,1
109.8401652,58.495591531,1
110.6098267,58.546454184,1
110.83467518,58.342861699,1
110.94495102,58.486649859,1
110.78669672,58.352888665,1
111.10041282,58.103328835,1
111.82282347,58.248171079,1
112.0789688,58.462716008,1
111.50530318,58.777885486,1
111.45683182,59.009717583,1
110.66447104,58.734221486,1
110.32235866,58.33550555,1
109.36598632,57.62617126,1
107.91547879,56.819251091,1
109.43864212,54.347067249,1
117.54549184,54.862387734,1
121.84733123,56.520052981,1
127.83210699,55.780493678,1
133.03002355,54.447847039,1
136.91453593,53.919111036,1
144.28008634,54.32809471,1
142.53347825,52.113963085,1
149.07834358,52.87456364,1
147.05658075,52.774593499,1
149.58996265,53.64955294,1
154.36692448,55.382684407,1
156.38097389,54.962296344,1
156.94671767,54.935848832,1
